,eventNumber,leftMinusRight,sumSignal,topMinusBottom,xField,yField,timeStamp
0,0.0,-0.003122677793726325,-0.003438648534938693,-0.0018587956437841058,0.0,0.0,0.0
1,0.0,-0.0024907367769628763,-0.003122677793726325,-0.0015428250189870596,0.0,0.0,0.02
2,0.0,-0.003438648534938693,-0.003438648534938693,-0.0018587956437841058,0.0,0.0,0.04
3,0.0,-0.002174766268581152,-0.0037546190433204174,-0.0024907367769628763,0.0,0.0,0.06
4,0.0,-0.0037546190433204174,-0.0037546190433204174,-0.0015428250189870596,0.0,0.0,0.08
5,0.0,-0.003122677793726325,-0.003122677793726325,-0.0015428250189870596,0.0,0.0,0.1
6,0.0,-0.003438648534938693,-0.004070589784532785,-0.0024907367769628763,0.0,0.0,0.12
7,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.0015428250189870596,0.0,0.0,0.14
8,0.0,-0.003122677793726325,-0.0037546190433204174,-0.0012268545106053352,0.0,0.0,0.16
9,0.0,-0.0028067072853446007,-0.0037546190433204174,-0.0015428250189870596,0.0,0.0,0.18
10,0.0,-0.0024907367769628763,-0.003438648534938693,-0.0024907367769628763,0.0,0.0,0.2
11,0.0,-0.002174766268581152,-0.0037546190433204174,-0.0028067072853446007,0.0,0.0,0.22
12,0.0,-0.0028067072853446007,-0.003122677793726325,-0.0012268545106053352,0.0,0.0,0.24
13,0.0,-0.0024907367769628763,-0.004070589784532785,-0.0018587956437841058,0.0,0.0,0.26
14,0.0,-0.003122677793726325,-0.0037546190433204174,-0.0018587956437841058,0.0,0.0,0.28
15,0.0,-0.003122677793726325,-0.003122677793726325,-0.002174766268581152,0.0,0.0,0.3
16,0.0,-0.002174766268581152,-0.0037546190433204174,-0.002174766268581152,0.0,0.0,0.32
17,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.003122677793726325,0.0,0.0,0.34
18,0.0,-0.0028067072853446007,-0.003122677793726325,-0.0018587956437841058,0.0,0.0,0.36
19,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.0028067072853446007,0.0,0.0,0.38
20,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.003122677793726325,0.0,0.0,0.4
21,0.0,-0.0024907367769628763,-0.003438648534938693,-0.0028067072853446007,0.0,0.0,0.42
22,0.0,-0.0037546190433204174,-0.0037546190433204174,-0.0024907367769628763,0.0,0.0,0.44
23,0.0,-0.003122677793726325,-0.003122677793726325,-0.002174766268581152,0.0,0.0,0.46
24,0.0,-0.003122677793726325,-0.003438648534938693,-0.0024907367769628763,0.0,0.0,0.48
