,eventNumber,leftMinusRight,sumSignal,topMinusBottom,xField,yField,timeStamp
0,0.0,0.35369089245796204,5.7681660652160645,-0.8227503299713135,7.054080000000001e-07,4.599e-08,0.0
1,0.0,0.3559032082557678,5.77290678024292,-0.8078997135162354,7.054080000000001e-07,4.599e-08,0.001
2,0.0,0.3606438636779785,5.771010398864746,-0.7949449419975281,7.054080000000001e-07,4.599e-08,0.002
3,0.0,0.3672808110713959,5.774487018585205,-0.781042218208313,7.054080000000001e-07,4.599e-08,0.003
4,0.0,0.3736017048358917,5.773854732513428,-0.7684034109115601,7.054080000000001e-07,4.599e-08,0.004
5,0.0,0.37613004446029663,5.768482208251953,-0.7563965320587158,7.054080000000001e-07,4.599e-08,0.005
6,0.0,0.37423378229141235,5.770694255828857,-0.7475493550300598,7.054080000000001e-07,4.599e-08,0.006
7,0.0,0.3679128885269165,5.772590637207031,-0.7428097724914551,7.054080000000001e-07,4.599e-08,0.007
8,0.0,0.36190804839134216,5.769114017486572,-0.7409139275550842,7.054080000000001e-07,4.599e-08,0.008
9,0.0,0.3581155240535736,5.769114017486572,-0.7434417009353638,7.054080000000001e-07,4.599e-08,0.009000000000000001
10,0.0,0.360327810049057,5.770378589630127,-0.7500770688056946,7.054080000000001e-07,4.599e-08,0.01
11,0.0,0.3672808110713959,5.775119304656982,-0.7639797925949097,7.054080000000001e-07,4.599e-08,0.011
12,0.0,0.3751819133758545,5.76974630355835,-0.781042218208313,7.054080000000001e-07,4.599e-08,0.012
13,0.0,0.38150280714035034,5.771958827972412,-0.8050559759140015,7.054080000000001e-07,4.599e-08,0.013000000000000001
14,0.0,0.3856113851070404,5.772274494171143,-0.8322294354438782,7.054080000000001e-07,4.599e-08,0.014
15,0.0,0.3856113851070404,5.77290678024292,-0.8628785610198975,7.054080000000001e-07,4.599e-08,0.015
16,0.0,0.3849793076515198,5.76974630355835,-0.8973193764686584,7.054080000000001e-07,4.599e-08,0.016
17,0.0,0.38624346256256104,5.767533779144287,-0.9333400130271912,7.054080000000001e-07,4.599e-08,0.017
18,0.0,0.3909841477870941,5.76974630355835,-0.9718884229660034,7.054080000000001e-07,4.599e-08,0.018000000000000002
19,0.0,0.3982531726360321,5.767533779144287,-1.0098048448562622,7.054080000000001e-07,4.599e-08,0.019
20,0.0,0.408682644367218,5.765005588531494,-1.0470894575119019,7.054080000000001e-07,4.599e-08,0.02
21,0.0,0.41658374667167664,5.7646894454956055,-1.0837420225143433,7.054080000000001e-07,4.599e-08,0.021
22,0.0,0.4184800088405609,5.767849922180176,-1.1184988021850586,7.054080000000001e-07,4.599e-08,0.022
23,0.0,0.415319561958313,5.7646894454956055,-1.1507277488708496,7.054080000000001e-07,4.599e-08,0.023
24,0.0,0.4083665907382965,5.761845111846924,-1.1763213872909546,7.054080000000001e-07,4.599e-08,0.024
25,0.0,0.4001494348049164,5.767218112945557,-1.1974914073944092,7.054080000000001e-07,4.599e-08,0.025
26,0.0,0.3963569104671478,5.767533779144287,-1.2148698568344116,7.054080000000001e-07,4.599e-08,0.026000000000000002
27,0.0,0.3954087793827057,5.766269683837891,-1.2246649265289307,7.054080000000001e-07,4.599e-08,0.027
28,0.0,0.39698898792266846,5.766901969909668,-1.2297204732894897,7.054080000000001e-07,4.599e-08,0.028
29,0.0,0.3998333811759949,5.7646894454956055,-1.2322481870651245,7.054080000000001e-07,4.599e-08,0.029
30,0.0,0.40141361951828003,5.763741493225098,-1.2271926403045654,7.054080000000001e-07,4.599e-08,0.03
31,0.0,0.39888525009155273,5.764057636260986,-1.2215051651000977,7.054080000000001e-07,4.599e-08,0.031
32,0.0,0.3957248032093048,5.76310920715332,-1.208234429359436,7.054080000000001e-07,4.599e-08,0.032
33,0.0,0.3909841477870941,5.766269683837891,-1.19243586063385,7.054080000000001e-07,4.599e-08,0.033
34,0.0,0.38940390944480896,5.760897159576416,-1.1731617450714111,7.054080000000001e-07,4.599e-08,0.034
35,0.0,0.3931964635848999,5.768798351287842,-1.150095820426941,7.054080000000001e-07,4.599e-08,0.035
36,0.0,0.3976210653781891,5.767533779144287,-1.124818205833435,7.054080000000001e-07,4.599e-08,0.036000000000000004
37,0.0,0.4055221974849701,5.772274494171143,-1.098908543586731,7.054080000000001e-07,4.599e-08,0.037
38,0.0,0.40994682908058167,5.768798351287842,-1.073630928993225,7.054080000000001e-07,4.599e-08,0.038
39,0.0,0.408682644367218,5.768482208251953,-1.049301266670227,7.054080000000001e-07,4.599e-08,0.039
40,0.0,0.4048900902271271,5.76595401763916,-1.0227596759796143,7.054080000000001e-07,4.599e-08,0.04
41,0.0,0.39888525009155273,5.772590637207031,-1.0003257989883423,7.054080000000001e-07,4.599e-08,0.041
