2.0, -3.8229105472564697
2.15, -3.8165764808654785
2.3, -3.8083581924438477
2.45, -3.792515754699707
2.6, -3.7584588527679443
2.75, -3.610360622406006
2.9, -3.560756206512451
3.05, -3.359039545059204
3.2, -2.9673917293548584
3.35, -2.2357795238494873
3.5, -1.1463861465454102
3.65, 0.1702766865491867
3.8, 1.5073366165161133
3.95, 2.6039798259735107
4.1, 3.2784924507141113
4.25, 3.5950825214385986
4.4, 3.7085864543914795
4.55, 3.761023759841919
4.7, 3.797539234161377
4.85, 3.823594331741333
5.0, 3.836484670639038
